ID,Chiku,遺跡番号,調査番号,遺物番号,No,S,V,H,X,Y,Z,Date,Pen,Size,Mark,FileLink,Soui,Syubetu,拡張表示使用,拡張線幅,拡張線色,拡張点色,レイヤー名,MARKERX,MARKERY,LAYERPAGE,INVISIBLE,DELETEFLG,HANDFLG,器械点,バック点,器械高,ミラー高,メディア
67,SD602A,,,,,,,,-137177.083,102112.095,2.465,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
68,SD602A',,,,,,,,-137176.321,102112.130,2.533,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
69,SD602B,,,,,,,,-137177.911,102115.757,2.465,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
70,SD602B',,,,,,,,-137177.236,102116.033,2.533,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
71,SD602C,,,,,,,,-137179.152,102119.505,2.465,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
72,SD602C',,,,,,,,-137178.403,102119.694,2.533,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
73,SD604・SD603A,,,,,,,,-137185.652,102114.946,2.465,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
74,SD604・SD603A',,,,,,,,-137186.926,102113.988,2.533,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
75,SD604B,,,,,,,,-137183.447,102112.308,2.465,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
76,SD604B',,,,,,,,-137184.243,102111.716,2.533,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
77,SD605A,,,,,,,,-137189.799,102119.557,2.465,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
78,SD605A',,,,,,,,-137189.235,102119.966,2.533,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
79,SD607A,,,,,,,,-137178.869,102118.513,2.465,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
80,SD607A',,,,,,,,-137179.190,102118.907,2.533,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
81,SI201A,,,,,,,,-137196.479,102115.493,1.923,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
82,SI201A',,,,,,,,-137196.392,102120.859,1.923,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
83,SI201B,,,,,,,,-137198.687,102118.604,1.923,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
84,SI201B',,,,,,,,-137194.398,102118.417,1.923,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
85,SI202A,,,,,,,,-137206.575,102130.581,1.923,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
86,SI202A',,,,,,,,-137202.472,102126.482,1.923,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
87,SI202B,,,,,,,,-137206.740,102126.116,1.923,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
88,SI202B',,,,,,,,-137202.861,102130.102,1.923,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
89,SI601A,,,,,,,,-137177.279,102126.498,2.465,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
90,SI601A',,,,,,,,-137180.155,102129.896,2.533,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
91,SI601B,,,,,,,,-137180.154,102127.422,2.465,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
92,SI601B',,,,,,,,-137178.471,102128.785,2.533,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
93,SK201A,,,,,,,,-137164.906,102099.086,1.923,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
94,SK201A',,,,,,,,-137163.468,102099.617,1.923,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
95,SK204A,,,,,,,,-137174.158,102096.720,1.923,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
96,SK204A',,,,,,,,-137174.723,102097.439,1.923,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
97,SK205A,,,,,,,,-137185.182,102103.873,1.923,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
98,SK205A',,,,,,,,-137184.503,102103.212,1.923,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
99,SK206A,,,,,,,,-137204.473,102112.868,1.923,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
100,SK206A',,,,,,,,-137204.670,102113.933,1.923,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
101,SK208A,,,,,,,,-137200.517,102127.190,1.923,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
102,SK208A',,,,,,,,-137199.026,102127.497,1.923,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
